STATE/UT,YEAR,Crime Head,Number Of Cases In Which Property - Stolen,Number Of Cases In Which Property - Recovered,Value Of Property (in rupees) - Stolen,Value Of Property (in rupees) - Recovered
Assam,2011,OTHER KINDS OF PROP. OFF.,422,43,11511515,3133570
Assam,2011,C.B. OF TRUST,920,75,22601665,2556723
Assam,2011,TOTAL (MANUAL),14120,2200,488470087,106530985
Assam,2012,DACOITY,266,31,44856229,8977070
Assam,2012,BURGLARY,3825,468,88774425,6101933
Assam,2012,THEFTS,9394,1820,363358551,77374730
Assam,2012,C.B. OF TRUST,1278,74,64945229,2193903
Assam,2012,TOTAL (MANUAL),16168,2575,589764253,99373080
Assam,2012,ROBBERY,907,110,24502209,3758460
Assam,2012,OTHER KINDS OF PROP. OFF.,498,72,3327610,966984
Bihar,2001,BURGLARY,3231,367,17023937,2327135
Bihar,2001,DACOITY,1290,234,66513191,8297831
Bihar,2001,TOTAL (MANUAL),18503,3357,422706220,47713186
Bihar,2001,OTHER KINDS OF PROP. OFF.,1164,285,11368139,4527015
Bihar,2001,ROBBERY,2201,441,51594151,12827627
Bihar,2001,C.B. OF TRUST,922,88,7779882,1340911
Bihar,2001,THEFTS,9695,1942,268426920,18392667
Bihar,2002,THEFTS,10145,1972,93656880,21368406
Bihar,2002,DACOITY,1289,187,61081240,7949064
Bihar,2002,BURGLARY,3182,371,20176572,2490854
Bihar,2002,C.B. OF TRUST,1214,41,20655871,1128419
Bihar,2002,TOTAL (MANUAL),19333,3217,254239400,47271522
Bihar,2002,OTHER KINDS OF PROP. OFF.,1216,224,4552401,1336704
Bihar,2002,ROBBERY,2287,422,54116436,12998075
Bihar,2003,OTHER KINDS OF PROP. OFF.,1341,202,3190267,744539
Bihar,2003,ROBBERY,2463,339,58856998,9698161
Bihar,2003,BURGLARY,2986,305,19821137,1719760
Bihar,2003,C.B. OF TRUST,1096,26,12300221,748571
Bihar,2003,DACOITY,1221,161,51817939,5851830
Bihar,2003,THEFTS,10104,1943,129338759,22460064
Bihar,2003,TOTAL (MANUAL),19211,2976,275325321,41222925
Bihar,2004,THEFTS,11113,1989,125439263,23897635
Bihar,2004,BURGLARY,3175,277,24846468,2380067
Bihar,2004,DACOITY,1319,140,80581664,5650680
Bihar,2004,C.B. OF TRUST,1696,30,20065108,1149866
Bihar,2004,OTHER KINDS OF PROP. OFF.,1384,375,31715584,6154699
Bihar,2004,TOTAL (MANUAL),21673,3228,382437886,60787255
Bihar,2004,ROBBERY,2986,417,99789799,21554308
Bihar,2005,DACOITY,1212,160,61652278,4305764
Bihar,2005,OTHER KINDS OF PROP. OFF.,1319,389,20415292,5177140
Bihar,2005,C.B. OF TRUST,1181,27,15356354,1644236
Bihar,2005,THEFTS,10812,1880,111326355,18558711
Bihar,2005,BURGLARY,3117,311,34869204,3584517
Bihar,2005,ROBBERY,2374,439,65234508,17663039
Bihar,2005,TOTAL (MANUAL),20015,3206,308853991,50933407
Bihar,2006,OTHER KINDS OF PROP. OFF.,831,369,15871447,3705035
Bihar,2006,TOTAL (MANUAL),20326,3182,283145127,45435277
Bihar,2006,THEFTS,11752,1882,94703960,16410074
Bihar,2006,BURGLARY,3531,362,36841471,3180927
Bihar,2006,C.B. OF TRUST,1042,30,25004534,1563838
Bihar,2006,DACOITY,1001,157,60402542,5736475
Bihar,2006,ROBBERY,2169,382,50321173,14838928
Bihar,2007,BURGLARY,3259,294,56610107,3910175
Bihar,2007,TOTAL (MANUAL),19494,2778,327832613,53220988
Bihar,2007,OTHER KINDS OF PROP. OFF.,658,303,6726001,1736766
Bihar,2007,THEFTS,11795,1700,120896395,20584711
Bihar,2007,ROBBERY,1787,333,68305746,15551687
Bihar,2007,DACOITY,686,122,60582150,10119615
Bihar,2007,C.B. OF TRUST,1309,26,14712214,1318034
Bihar,2008,ROBBERY,1592,391,71982641,11803934
Bihar,2008,DACOITY,686,142,48724649,6960575
Bihar,2008,BURGLARY,3414,288,43776678,3698886
Bihar,2008,C.B. OF TRUST,1352,94,19375909,1290244
Bihar,2008,TOTAL (MANUAL),21324,3414,464392646,55371417
Bihar,2008,THEFTS,13206,2283,273651851,29222449
Bihar,2008,OTHER KINDS OF PROP. OFF.,1074,216,6880918,2395329
Bihar,2009,TOTAL (MANUAL),23314,3400,507723195,72473571
Bihar,2009,OTHER KINDS OF PROP. OFF.,1068,316,6238416,1211610
Bihar,2009,C.B. OF TRUST,1186,37,20075889,3445872
Bihar,2009,BURGLARY,3566,329,55027421,4157497
Bihar,2009,DACOITY,654,131,45538299,8337986
Bihar,2009,THEFTS,15221,2235,313111752,41223558
Bihar,2009,ROBBERY,1619,352,67731418,14097048
Bihar,2010,C.B. OF TRUST,1071,35,13148146,464781
Bihar,2010,BURGLARY,3437,337,55766542,5194263
Bihar,2010,THEFTS,15544,2242,322648700,45833681
